name;season;number;airdate;runtime;rating;summary
Winter is Coming;1;1;2011-04-17 21:00;60;8.1;Lord Eddard Stark, ruler of the North, is summoned to court by his old friend, King Robert Baratheon, to serve as the King's Hand. Eddard reluctantly agrees after learning of a possible threat to the King's life. Eddard's bastard son Jon Snow must make a painful decision about his own future, while in the distant east Viserys Targaryen plots to reclaim his father's throne, usurped by Robert, by selling his sister in marriage.
The Kingsroad;1;2;2011-04-24 21:00;60;8.1;An incident on the Kingsroad threatens Eddard and Robert's friendship. Jon and Tyrion travel to the Wall, where they discover that the reality of the Night's Watch may not match the heroic image of it.
Lord Snow;1;3;2011-05-01 21:00;60;8;Jon Snow attempts to find his place amongst the Night's Watch. Eddard and his daughters arrive at King's Landing.
Cripples, Bastards, and Broken Things;1;4;2011-05-08 21:00;60;8.2;Tyrion stops at Winterfell on his way home and gets a frosty reception from Robb Stark. Eddard's investigation into the death of his predecessor gets underway.
The Wolf and the Lion;1;5;2011-05-15 21:00;60;8.5;Catelyn's actions on the road have repercussions for Eddard. Tyrion enjoys the dubious hospitality of the Eyrie.
A Golden Crown;1;6;2011-05-22 21:00;60;8.6;Viserys is increasingly frustrated by the lack of progress towards gaining his crown.
You Win or You Die;1;7;2011-05-29 21:00;60;8.8;Eddard's investigations in King's Landing reach a climax and a dark secret is revealed.
The Pointy End;1;8;2011-06-05 21:00;60;8.2;Tyrion joins his father's army with unexpected allies. Events in King's Landing take a turn for the worse as Arya's lessons are put to the test.
Baelor;1;9;2011-06-12 21:00;60;8.9;Catelyn must negotiate with the irascible Lord Walder Frey.
Fire and Blood;1;10;2011-06-19 21:00;60;8.9;Daenerys must realize her destiny. Jaime finds himself in an unfamiliar predicament.
The North Remembers;2;1;2012-04-01 21:00;60;8.1;War grips the continent of Westeros. As Tyrion Lannister tries to take his strong-willed nephew in hand in King's Landing, Stannis Baratheon launches his own campaign to take the Iron Throne with the help of a mysterious priestess. In the east, Daenerys must lead her retinue through a desolate wasteland whilst beyond the Wall the Night's Watch seeks the aid of a wildling.
The Night Lands;2;2;2012-04-08 21:00;60;7.7;Stannis uses Ser Davos to seek out new allies for his war with the Lannisters. On the road north, Arya confides in Gendry. Robb Stark sends Theon Greyjoy to win an alliance with his father and the fierce warriors of the Iron Islands. Cersei and Tyrion clash on how to rule in King's Landing.
What is Dead May Never Die;2;3;2012-04-15 21:00;60;8.2;Catelyn Stark treats with King Renly in the hope of winning an alliance. Tyrion undertakes a complex plan in King's Landing to expose an enemy. At Winterfell, Bran's dreams continue to trouble him.
Garden of Bones;2;4;2012-04-22 21:00;60;8.2;Tyrion attempts to restrain Joffrey's cruelty. Catelyn attempts to broker a peace between Stannis and Renly. Daenerys and her followers arrive at the great city of Qarth and hope to find refuge there. Arya and Gendry arrive at Harrenhal, a great castle now under Lannister occupation.
The Ghost of Harrenhal;2;5;2012-04-29 21:00;60;7.7;Confusion rages in the Stormlands in the wake of a devastating reversal. Catelyn must flee with a new ally, whilst Littlefinger sees an opportunity in the chaos. Theon seeks to prove himself to his father in battle. Arya receives a promise from the enigmatic Jaqen H'ghar. The Night's Watch arrives at the Fist of the First Men. Daenerys Targaryen receives a marriage proposal.
The Old Gods and the New;2;6;2012-05-06 21:00;60;8.8;Arya has a surprise visitor, Dany vows to take what is hers, Joffrey meets his subjects, Qhorin gives Jon a chance to prove himself.
A Man Without Honor;2;7;2012-05-13 21:00;60;8.2;Jaime meets a relative, Theon hunts, Dany receives an invitation.
The Prince of Winterfell;2;8;2012-05-20 21:00;60;8.2;Theon holds the fort, Arya calls in her debt with Jaqen, Robb is betrayed, Stannis and Davos approach their destination.
Blackwater;2;9;2012-05-27 21:00;60;9.2;A massive battle rages for control of King's Landing and the Iron Throne.
Valar Morghulis;2;10;2012-06-03 21:00;60;9;Tyrion awakens to a changed situation. King Joffrey doles out rewards to his subjects. As Theon stirs his men to action, Luwin offers some final advice. Brienne silences Jaime, Arya receives a gift from Jaqen, Dany goes to a strange place, Jon proves himself to Qhorin.
Valar Dohaeris;3;1;2013-03-31 21:00;60;7.8;Jon is brought before Mance Rayder, the King Beyond the Wall, while the Night's Watch survivors retreat south. In King's Landing, Tyrion asks for his reward. Littlefinger offers Sansa a way out. Cersei hosts a dinner for the royal family. Daenerys sails into Slaver's Bay.
Dark Wings, Dark Words;3;2;2013-04-07 21:00;60;7.7;Sansa says too much. Shae asks Tyrion for a favor. Jaime finds a way to pass the time. Arya runs into the Brotherhood Without Banners.
Walk of Punishment;3;3;2013-04-14 21:00;60;8.2;Tyrion shoulders new responsibilities. Jon is taken to the Fist of the First Men. Daenerys meets with the slavers. Jaime strikes a deal with his captors.
And Now His Watch is Ended;3;4;2013-04-21 21:00;60;8.9;The Night's Watch takes stock. Varys meets his better. Arya is taken to the commander of the Brotherhood. Daenerys exchanges a chain for a Whip.
Kissed by Fire;3;5;2013-04-28 21:00;60;8.7;The Hound is judged by the gods, Jaime is judged by men. Jon proves himself, Robb is betrayed. Tyrion learns the cost of weddings.
The Climb;3;6;2013-05-05 21:00;60;8.2;Tywin plans strategic unions for the Lannisters. Melisandre visits the Riverlands. Robb weighs a compromise to repair his alliance with House Frey. Roose Bolton decides what to do with Jaime Lannister. Jon, Ygritte and the Wildlings face a daunting climb.
The Bear and the Maiden Fair;3;7;2013-05-12 21:00;60;7.8;Daenerys exchanges gifts with a slave lord outside Yunkai. As Sansa frets about her prospects, Shae chafes at Tyrion's new situation. Tywin counsels the king, and Melisandre reveals a secret to Gendry. Brienne faces a formidable foe in Harrenhal.
Second Sons;3;8;2013-05-19 21:00;60;8.6;King's Landing hosts a wedding, and Tyrion and Sansa spend the night together. Daenerys meets the Titan's Bastard. Davos demands proof from Melisandre. Sam and Gilly meet an older Gentleman.
The Rains of Castamere;3;9;2013-06-02 21:00;60;9;Robb presents himself to Walder Frey, and Edmure meets his bride. Jon faces his harshest test yet. Bran discovers a new gift. Daario and Jorah debate how to take Yunkai. House Frey joins with House Tully.
